 ID  ,title,followers_count,genres,popularity,avgcompscore
5738,Rednex,39827,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",58,0.540384211
5739,Jean Redpath,592,"['celtic christmas', 'traditional scottish folk']",17,0.93495
5740,Ann Reed,185,[],9,0.078666667
5741,Lou Reed,603109,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'mellow gold', 'new wave', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",67,-0.4934
5742,Reef The Lost Cauze,9288,['underground rap'],49,0.7177
5743,The Reegs,158,[],3,nan
5744,Reel Big Fish,193318,"['comic', 'pop punk', 'pop rock', 'punk', 'ska', 'ska punk', 'skate punk']",58,0.8646
5745,Jim Reeves,74503,"['adult standards', 'brill building pop', 'christmas', 'country christmas', 'country gospel', 'cowboy western', 'nashville sound', 'rock-and-roll', 'rockabilly', 'traditional country']",56,-0.9455
5746,Martha Reeves & The Vandellas,105090,"['brill building pop', 'chicago soul', 'classic funk rock', 'disco', 'funk', 'jazz blues', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'rock-and-roll', 'soul', 'soul blues', 'soul christmas', 'southern soul']",60,0.138675439
5747,Vic Reeves,593,[],26,0.51356
5748,Refuel,99,[],0,0.419375
5749,Refugee All Stars,717,[],44,-0.9706
5750,Refused,83686,"['hardcore punk', 'post-hardcore']",50,nan
5751,Reg Presley,9,[],1,-0.7137875
5752,Regenundmild,40,[],1,0.0007
5753,Elis Regina,337457,"['bossa nova', 'forro', 'mpb', 'samba']",63,-0.9429
5754,Regurgitator,20504,"['australian alternative rock', 'australian pop']",42,0.639208333
5755,R3HAB,1031514,"['big room', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",81,0.9756
5756,Marina Rei,4538,['italian pop'],28,-0.61795
5757,Keali'i Reichel,10111,"['hawaiian', 'world christmas']",44,0.451218182
5758,Harvey Reid,296,[],10,0.01881875
5759,Maggie Reilly,6920,['new wave pop'],37,-0.9069
5760,Matthias Reim,42606,"['discofox', 'europop', 'german pop', 'german pop rock', 'schlager']",57,nan
5761,Reynaldo Armas,12567,"['classic venezuelan pop', 'pop reggaeton', 'vallenato']",41,0.777828571
5762,Reincarnation,699,['armenian folk'],16,0.6892
5763,Reinhard Fendrich,1390,[],8,0.12154
5765,Reinhard Mey,39965,"['german pop', 'kabarett', 'liedermacher']",49,0.356727273
5766,Sérgio Reis,97483,"['brega', 'sertanejo', 'sertanejo tradicional', 'sertanejo universitario']",49,-0.713133333
5767,Rio Reiser,17766,"['german pop', 'liedermacher']",40,-0.4714
5768,Relatives Menschsein,295,[],6,0.186116667
5769,Rest & Relax Nature Sounds Artists,5066,['environmental'],50,0.788775
5770,Max Relax,23,[],8,0.274675
