,main_artist,Year,Rank,Source,comp_score,pos_score,neu_score,neg_score
207,blues magoos,1967.0,65.0,1.0,0.5551,0.061,0.898,0.040999999999999995
208,blues traveler,1995.5,37.0,1.0,0.0014500000000000068,0.1245,0.7555,0.12
209,bo donaldson,1974.0,21.0,,,,,
210,bob,2010.5,40.0,1.0,0.38322500000000004,0.13025,0.7632500000000001,0.10600000000000001
211,bob dylan,1966.6666666666667,58.333333333333336,1.0,0.33960000000000007,0.09533333333333334,0.8426666666666667,0.061666666666666675
212,bob lind,1966.0,50.0,1.0,0.9848,0.162,0.8079999999999999,0.028999999999999998
213,bob seger,1980.25,55.125,1.25,0.13730000000000003,0.07775,0.8255,0.0965
214,bob seger system,1969.0,86.0,3.0,0.4597,0.10300000000000001,0.813,0.085
215,bob welch,1978.0,87.0,1.0,0.9554,0.19949999999999998,0.765,0.0355
216,bobbi martin,1970.0,77.0,3.0,0.9967,0.252,0.736,0.012
217,bobbie gentry,1967.0,3.0,1.0,0.2869,0.045,0.914,0.040999999999999995
218,bobby boris pickett,1973.0,38.0,1.0,0.7184,0.06,0.898,0.042
219,bobby brown,1989.75,50.625,1.0,0.49787499999999996,0.154375,0.7891250000000001,0.056624999999999995
220,bobby caldwell,1979.0,59.0,1.0,0.9969,0.278,0.6859999999999999,0.036000000000000004
221,bobby darin,1966.0,73.0,1.0,0.872,0.139,0.7809999999999999,0.08
222,bobby fuller four,1966.0,95.0,1.0,0.9828,0.293,0.519,0.188
223,bobby goldsboro,1968.0,54.0,1.6666666666666667,0.7393000000000001,0.164,0.7869999999999999,0.04866666666666667
224,bobby hebb,1966.0,27.0,1.0,0.9994,0.529,0.436,0.035
225,bobby mcferrin,1988.0,37.0,1.0,-0.9925,0.218,0.483,0.299
226,bobby sherman,1969.6666666666667,42.0,3.6666666666666665,0.7429666666666667,0.162,0.7913333333333332,0.04699999999999999
227,bobby shmurda,2014.0,54.0,1.0,-0.7822,0.106,0.7609999999999999,0.132
228,bobby valentino,2005.0,47.0,1.0,0.9993,0.325,0.675,0.0
229,bobby vee,1967.0,15.0,1.0,0.7699,0.113,0.794,0.09300000000000001
230,bobby vinton,1969.5,65.0,2.0,0.98115,0.326,0.5355000000000001,0.13899999999999998
231,bobby womack,1974.0,67.0,1.0,0.9965,0.196,0.804,0.0
232,bodeans,1996.0,67.0,1.0,0.998,0.49,0.51,0.0
233,bon jovi,1991.5,50.416666666666664,1.0,-0.07895,0.1376666666666667,0.73425,0.12791666666666665
234,bone thugsnharmony,1998.75,50.25,,,,,
235,bonnie pointer,1979.0,43.0,1.0,0.9961,0.284,0.6829999999999999,0.033
236,bonnie raitt,1992.3333333333333,83.0,1.0,0.3336333333333334,0.131,0.7796666666666666,0.08900000000000001
237,bonnie tyler,1980.5,15.0,1.0,0.9622999999999999,0.14350000000000002,0.7715000000000001,0.08399999999999999
238,booker t,1968.3333333333333,75.0,,,,,
239,boston,1982.0,71.5,1.0,0.95595,0.1315,0.8505,0.018
240,bow wow,2006.0,50.25,1.0,0.12255000000000002,0.11175,0.80425,0.08375
241,boy krazy,1993.0,70.0,5.0,0.9454,0.2,0.638,0.161
242,boy meets girl,1989.0,12.0,1.0,0.995,0.187,0.787,0.026000000000000002
243,boys club,1989.0,85.0,3.0,-0.6727,0.133,0.733,0.135
244,boys like girls,2008.6666666666667,73.66666666666667,1.0,0.9842333333333334,0.18533333333333335,0.7126666666666667,0.10233333333333333
245,boyz ii men,1994.3846153846155,35.76923076923077,1.0,0.6762153846153846,0.15007692307692308,0.8015384615384614,0.04846153846153847
246,boz scaggs,1978.8,81.6,1.0,0.08974000000000001,0.09319999999999999,0.7724,0.13419999999999999
247,brad paisley,2010.0,83.0,1.0,0.9860500000000001,0.172,0.7905,0.0375
248,brandy,1997.2727272727273,56.63636363636363,1.0,0.43151818181818186,0.15354545454545454,0.7659999999999999,0.08036363636363637
249,brantley gilbert,2014.0,68.0,1.0,0.9952,0.16699999999999998,0.79,0.043
250,bread,1972.5,49.0,1.0,0.134975,0.0935,0.84075,0.066
251,breakfast club,1987.0,94.0,1.0,0.9103,0.038,0.948,0.013999999999999999
252,breathe,1988.5,18.0,1.0,0.15665,0.14650000000000002,0.739,0.11449999999999999
253,brenda,1971.0,97.0,,,,,
254,brenda k starr,1988.0,93.0,1.0,0.997,0.27899999999999997,0.644,0.077
255,brenda lee,1965.5,74.5,1.0,0.868,0.20799999999999996,0.6715,0.1205
256,brenda russell,1988.0,81.0,1.0,-0.9918,0.09,0.7240000000000001,0.18600000000000003
257,brenton wood,1967.0,28.0,1.0,0.9584,0.138,0.862,0.0
258,brett young,2017.0,57.0,1.0,0.0,0.028999999999999998,0.943,0.028999999999999998
259,brewer,1971.0,63.0,3.0,0.9912,0.147,0.828,0.025
260,brian mcknight,1997.25,60.5,2.0,0.496975,0.1295,0.798,0.07300000000000001
261,brick,1977.0,41.0,1.0,0.6369,0.069,0.9009999999999999,0.03
262,britney spears,2006.3125,59.125,1.0,0.5399187500000001,0.11962500000000001,0.8020000000000002,0.0785625
263,brock,1997.0,68.0,,,,,
264,brook benton,1970.0,37.0,1.0,0.1531,0.068,0.855,0.078
265,brooke valentine,2005.0,85.0,3.0,-0.9083,0.066,0.851,0.083
266,brooks,2002.0,78.5,4.0,0.90425,0.1435,0.7989999999999999,0.0575
267,brownstone,1995.0,34.0,1.0,0.9972,0.20800000000000002,0.772,0.02
268,brownsville station,1974.0,44.0,1.0,0.875,0.07200000000000001,0.89,0.038
269,bruce hornsby,1987.3333333333333,50.333333333333336,1.0,-0.0076999999999999985,0.05666666666666667,0.8823333333333333,0.06133333333333333
270,bruce springsteen,1986.888888888889,65.33333333333333,1.0,0.5030444444444444,0.13066666666666665,0.793888888888889,0.07533333333333334
271,bruce willis,1987.0,89.0,1.0,0.9893,0.214,0.7490000000000001,0.037000000000000005
272,bruno mars,2012.8,15.9,1.0,0.40729,0.1968,0.7319,0.0711
273,bryan adams,1989.090909090909,51.45454545454545,1.0,0.6602272727272727,0.18345454545454548,0.7401818181818182,0.07618181818181818
274,bryan adams rod stewart,1994.0,8.0,3.0,0.9898,0.175,0.737,0.08800000000000001
275,bryson tiller,2016.0,44.0,1.0,-0.011199999999999988,0.133,0.754,0.114
276,bt express,1975.0,69.0,2.0,0.9985,0.268,0.732,0.0
277,bubba sparxxx,2006.0,36.0,1.0,0.0,0.0,1.0,0.0
278,buckcherry,2008.0,44.0,1.0,-0.7777,0.122,0.688,0.191
279,buckner,1982.0,42.0,,,,,
280,buffalo springfield,1967.0,27.0,1.0,-0.9051,0.075,0.769,0.156
281,burton cummings,1977.0,63.0,1.0,0.591,0.113,0.8190000000000001,0.068
282,busta rhymes,2000.2857142857142,55.57142857142857,1.5714285714285714,0.13895714285714283,0.093,0.7992857142857143,0.10785714285714286
283,bw stevenson,1973.0,64.0,1.0,0.9942,0.294,0.654,0.051
284,c w mccall,1976.0,57.0,3.0,0.997,0.158,0.804,0.037000000000000005
285,cah out,2012.0,92.0,3.0,0.9327,0.071,0.882,0.047
286,cali swag district,2010.0,98.0,1.0,-0.7775,0.168,0.657,0.17600000000000002
287,calloway,1990.0,22.0,1.0,0.9991,0.389,0.597,0.013999999999999999
288,calvin harris,2014.3333333333333,55.77777777777778,1.0,0.5488444444444445,0.15455555555555553,0.7741111111111112,0.07122222222222223
289,cameo,1986.0,68.0,1.0,-0.7153,0.09300000000000001,0.7809999999999999,0.126
290,camila cabello,2017.0,96.0,1.0,0.9514,0.07,0.9,0.028999999999999998
291,camron,2002.0,41.5,1.0,0.11709999999999998,0.069,0.8825,0.048
292,candi staton,1976.0,90.0,1.0,0.9949,0.237,0.7020000000000001,0.061
293,candlebox,1994.0,92.0,1.0,-0.9907,0.064,0.763,0.174
294,capital cities,2013.0,29.0,1.0,0.9982,0.301,0.685,0.013999999999999999
295,captain,1976.8,39.4,3.0,0.8156599999999999,0.2044,0.7512000000000001,0.04460000000000001
296,captain hollywood project,1993.0,79.0,1.0,-0.4519,0.08,0.8320000000000001,0.08800000000000001
297,cardi b,2017.0,24.0,1.0,-0.9368,0.109,0.769,0.122
298,carl douglas,1975.0,14.0,1.0,-0.9940000000000001,0.032,0.7190000000000001,0.249
299,carl thomas,2000.0,64.0,1.0,0.9957,0.259,0.687,0.054000000000000006
300,carla thomas,1966.0,39.0,1.0,0.9646,0.18899999999999997,0.718,0.09300000000000001
301,carly rae jepsen,2012.0,2.0,1.0,-0.9982,0.05,0.7340000000000001,0.21600000000000003
302,carly simon,1974.1666666666667,53.666666666666664,1.0,0.5245666666666666,0.158,0.7741666666666666,0.068
303,carol douglas,1975.0,63.0,1.0,0.9590000000000001,0.172,0.735,0.094
304,carole king,1975.5,38.0,1.0,0.9781,0.21,0.79,0.0
305,carrie underwood,2008.6666666666667,63.166666666666664,1.0,0.05501666666666669,0.11750000000000001,0.7933333333333333,0.08933333333333333
306,cascada,2006.0,31.0,1.0,0.9257,0.14,0.797,0.063
