Row Labels,Count of genres
psychedelic blues-rockNONE,2
psychedelic doom,1
psychedelic rockNONE,1
psychedelic tranceNONE,1
psychillNONE,1
psychobilly,4
psychobillyNONE,1
pub rock,4
pub rockNONE,2
puerto rican rockNONE,1
punk,1
punk christmasNONE,1
quebecois,1
quebecoisNONE,11
quiet storm,4
rap,3
rap chilenoNONE,1
rap metal,6
rap rockNONE,1
raw black metal,2
raw black metalNONE,2
redneckNONE,3
reggae,6
reggae fusionNONE,1
reggae rockNONE,3
reggaeton flow,1
reggaeton flowNONE,2
regional mexican,2
regional mexican popNONE,1
relaxativeNONE,1
retro electroNONE,1
retro metalNONE,1
rio de la plataNONE,1
riot grrrlNONE,1
rock en espanol,1
rock en espanolNONE,1
rock gauchoNONE,1
rock-and-roll,1
romanian pop,1
romanian rockNONE,1
roots rockNONE,2
russelaterNONE,1
russian alternative,2
russian folkNONE,2
russian hip hop,1
rva indieNONE,2
schlager,38
schlagerNONE,17
scorecore,2
screamo punkNONE,1
screamocoreNONE,1
sertanejo,1
sevdah,1
shimmer popNONE,1
show tunesNONE,3
ska,7
ska punk,1
ska punkNONE,2
skate punk,2
slavic metalNONE,2
sleaze rock,1
sleepNONE,3
slovak popNONE,1
slovenian rockNONE,3
slow coreNONE,1
smooth jazzNONE,2
socaNONE,1
soft rock,1
soft rockNONE,7
soul christmasNONE,1
soundtrack,1
soundtrackNONE,3
southern rock,1
southern rockNONE,3
southern soul bluesNONE,2
spanish invasionNONE,3
spanish new wave,1
spanish new waveNONE,2
spanish punkNONE,1
speed garage,2
speed metal,2
steampunkNONE,1
stoner metal,1
straight edgeNONE,1
suomi rockNONE,2
swamp popNONE,1
swedish folk pop,2
swedish indie pop,1
swedish indie rockNONE,1
swedish jazz,1
swedish metal,1
swedish metalNONE,6
swedish popNONE,7
swing,1
swiss hip hopNONE,1
swiss rockNONE,2
symphonic black metalNONE,7
symphonic rockNONE,1
synthpopNONE,2
teen popNONE,1
tejanoNONE,1
themeNONE,1
thrash coreNONE,2
ticoNONE,1
tin pan alleyNONE,9
tracestepNONE,2
traditional folkNONE,1
traditional rockabillyNONE,1
trap music,1
trip hopNONE,3
